root,session_date,morning_first_timestamp,morning_last_timestamp,morning_open,morning_high,morning_low,morning_close,morning_volume,morning_pv,morning_bar_count,morning_vwap,lunch_first_timestamp,lunch_last_timestamp,lunch_open,lunch_high,lunch_low,lunch_close,lunch_volume,lunch_pv,lunch_bar_count,lunch_vwap,cohort,morning_range,morning_reference_median_20,morning_range_ratio,morning_state,morning_range_ratio_bin,lunch_range,lunch_range_div_morning_range,lunch_range_contraction,lunch_trendiness,lunch_signed_trendiness,morning_signed_direction,lunch_signed_direction,trend_continuation_failure,new_high_or_low_during_lunch,close_location_within_lunch_range,vwap_cross,vwap_touch_after_morning_extension,year,month,week
NQ,2024-06-10,2024-06-10 13:30:00+00:00,2024-06-10 15:29:00+00:00,18988.75,19090.75,18977.75,19089.5,175814,3345078010.25,120,19026.23232649277,2024-06-10 15:30:00+00:00,2024-06-10 17:59:00+00:00,19089.75,19121.25,19054.0,19101.75,140441,2681745907.5833335,150,19095.1781002936,primary_2023_2025,113.0,112.0,1.0089285714285714,standard,1_0_to_1_3,67.25,0.5951327433628318,False,0.17843866171003717,0.17843866171003717,1,1,False,True,0.7100371747211895,False,False,2024,2024-06,2024-W24
NQ,2024-06-11,2024-06-11 13:30:00+00:00,2024-06-11 15:29:00+00:00,19058.0,19137.0,18994.5,19115.75,202807,3868082498.25,120,19072.72677101875,2024-06-11 15:30:00+00:00,2024-06-11 17:59:00+00:00,19115.5,19166.5,19063.25,19164.25,130983,2502934578.8333335,150,19108.850605294836,primary_2023_2025,142.5,115.875,1.2297734627831716,standard,1_0_to_1_3,103.25,0.724561403508772,False,0.4721549636803874,0.4721549636803874,1,1,False,True,0.9782082324455206,True,True,2024,2024-06,2024-W24
NQ,2024-06-12,2024-06-12 13:30:00+00:00,2024-06-12 15:29:00+00:00,19402.25,19546.75,19374.75,19533.75,212962,4150738236.5833335,120,19490.511154963486,2024-06-12 15:30:00+00:00,2024-06-12 17:59:00+00:00,19533.75,19536.75,19490.75,19517.75,92739,1809631759.5833333,150,19513.168781023443,primary_2023_2025,172.0,121.875,1.4112820512820512,standard,1_3_to_1_5,46.0,0.26744186046511625,True,0.34782608695652173,-0.34782608695652173,1,-1,True,False,0.5869565217391305,False,False,2024,2024-06,2024-W24
NQ,2024-06-13,2024-06-13 13:30:00+00:00,2024-06-13 15:29:00+00:00,19636.75,19663.5,19534.75,19578.5,196922,3859724728.5833335,120,19600.27182632379,2024-06-13 15:30:00+00:00,2024-06-13 17:59:00+00:00,19578.5,19609.0,19500.0,19568.0,124781,2440585185.9166665,150,19558.94876557061,primary_2023_2025,128.75,121.875,1.0564102564102564,standard,1_0_to_1_3,109.0,0.8466019417475729,False,0.0963302752293578,-0.0963302752293578,-1,-1,False,True,0.6238532110091743,True,True,2024,2024-06,2024-W24
NQ,2024-06-14,2024-06-14 13:30:00+00:00,2024-06-14 15:29:00+00:00,19578.0,19648.5,19557.25,19617.5,178081,3491969451.6666665,120,19608.882764959017,2024-06-14 15:30:00+00:00,2024-06-14 17:59:00+00:00,19618.0,19676.25,19563.5,19657.5,118012,2316383901.4166665,150,19628.37593987617,primary_2023_2025,91.25,126.875,0.7192118226600985,standard,0_7_to_1_0,112.75,1.2356164383561643,False,0.35033259423503327,0.35033259423503327,1,1,False,True,0.8337028824833703,True,True,2024,2024-06,2024-W24
NQ,2024-06-17,2024-06-17 13:30:00+00:00,2024-06-17 15:29:00+00:00,19958.0,20020.0,19904.0,20011.25,150001,2994412440.5833335,120,19962.61651977876,2024-06-17 15:30:00+00:00,2024-06-17 17:59:00+00:00,20011.5,20238.0,20002.25,20233.5,134045,2695550639.4166665,150,20109.29642595148,primary_2023_2025,116.0,126.875,0.9142857142857143,standard,0_7_to_1_0,235.75,2.0323275862068964,False,0.9416755037115588,0.9416755037115588,1,1,False,True,0.9809119830328739,False,False,2024,2024-06,2024-W25
NQ,2024-06-18,2024-06-18 13:30:00+00:00,2024-06-18 15:29:00+00:00,20191.75,20219.0,20127.0,20157.25,172835,3488037539.4166665,120,20181.31477661739,2024-06-18 15:30:00+00:00,2024-06-18 17:59:00+00:00,20156.5,20229.5,20151.5,20202.5,103980,2099366509.8333333,150,20190.09915208053,primary_2023_2025,92.0,121.875,0.7548717948717949,standard,0_7_to_1_0,78.0,0.8478260869565217,False,0.5897435897435898,0.5897435897435898,-1,1,True,True,0.6538461538461539,True,True,2024,2024-06,2024-W25
NQ,2024-06-19,2024-06-19 13:30:00+00:00,2024-06-19 15:29:00+00:00,20242.75,20252.5,20223.5,20241.25,21347,432051358.0,120,20239.441514030073,2024-06-19 15:30:00+00:00,2024-06-19 16:59:00+00:00,20241.0,20248.25,20228.0,20231.0,6953,140719239.91666666,90,20238.63654777314,primary_2023_2025,29.0,121.875,0.23794871794871794,standard,le_0_7,20.25,0.6982758620689655,False,0.49382716049382713,-0.49382716049382713,-1,-1,False,False,0.14814814814814814,True,True,2024,2024-06,2024-W25
NQ,2024-06-20,2024-06-20 13:30:00+00:00,2024-06-20 15:29:00+00:00,20245.75,20263.25,20118.5,20189.5,233695,4721084556.083333,120,20201.906570886553,2024-06-20 15:30:00+00:00,2024-06-20 17:59:00+00:00,20189.75,20211.0,19958.25,20033.0,238617,4788244731.583333,150,20066.653807496252,primary_2023_2025,144.75,121.875,1.1876923076923076,standard,1_0_to_1_3,252.75,1.7461139896373057,False,0.6201780415430267,-0.6201780415430267,-1,-1,False,True,0.29574678536102866,True,True,2024,2024-06,2024-W25
NQ,2024-06-21,2024-06-21 13:30:00+00:00,2024-06-21 15:29:00+00:00,20017.0,20041.5,19914.25,19996.25,203295,4061939761.25,120,19980.51974347623,2024-06-21 15:30:00+00:00,2024-06-21 17:59:00+00:00,19996.25,20072.75,19947.5,19961.25,140277,2807314873.9166665,150,20012.652636687886,primary_2023_2025,127.25,121.875,1.044102564102564,standard,1_0_to_1_3,125.25,0.9842829076620825,False,0.27944111776447106,-0.27944111776447106,-1,-1,False,True,0.10978043912175649,True,True,2024,2024-06,2024-W25
NQ,2024-06-24,2024-06-24 13:30:00+00:00,2024-06-24 15:29:00+00:00,19922.5,19995.5,19821.25,19912.25,261980,5217394286.333333,120,19915.2388973713,2024-06-24 15:30:00+00:00,2024-06-24 17:59:00+00:00,19911.75,19926.0,19787.75,19810.25,145066,2881385099.6666665,150,19862.58047831102,primary_2023_2025,174.25,121.875,1.4297435897435897,standard,1_3_to_1_5,138.25,0.793400286944046,False,0.7341772151898734,-0.7341772151898734,-1,-1,False,True,0.162748643761302,True,True,2024,2024-06,2024-W26
NQ,2024-06-25,2024-06-25 13:30:00+00:00,2024-06-25 15:29:00+00:00,19830.0,19943.75,19792.25,19932.0,209328,4158489258.5,120,19865.90068457158,2024-06-25 15:30:00+00:00,2024-06-25 17:59:00+00:00,19932.5,19968.0,19837.75,19924.25,139341,2774069380.6666665,150,19908.493413041866,primary_2023_2025,151.5,126.125,1.2011892963330029,standard,1_0_to_1_3,130.25,0.8597359735973598,False,0.06333973128598848,-0.06333973128598848,1,-1,True,True,0.6641074856046065,True,True,2024,2024-06,2024-W26
NQ,2024-06-26,2024-06-26 13:30:00+00:00,2024-06-26 15:29:00+00:00,19929.25,20024.0,19912.0,19957.0,198617,3966338330.0,120,19969.78269735219,2024-06-26 15:30:00+00:00,2024-06-26 17:59:00+00:00,19957.25,20028.0,19935.25,19984.5,128962,2576684519.0833335,150,19980.184233210817,primary_2023_2025,112.0,128.0,0.875,standard,0_7_to_1_0,92.75,0.828125,False,0.29380053908355797,0.29380053908355797,1,1,False,True,0.5309973045822103,True,True,2024,2024-06,2024-W26
NQ,2024-06-27,2024-06-27 13:30:00+00:00,2024-06-27 15:29:00+00:00,19990.5,20116.75,19978.25,19993.75,233596,4684006973.916667,120,20051.743068873897,2024-06-27 15:30:00+00:00,2024-06-27 17:59:00+00:00,19993.0,20066.0,19954.0,20034.25,127976,2561436310.0,150,20014.973979496157,primary_2023_2025,138.5,128.0,1.08203125,standard,1_0_to_1_3,112.0,0.8086642599277978,False,0.36830357142857145,0.36830357142857145,1,1,False,True,0.7165178571428571,True,True,2024,2024-06,2024-W26
NQ,2024-06-28,2024-06-28 13:30:00+00:00,2024-06-28 15:29:00+00:00,20070.5,20273.25,20039.25,20101.75,272503,5492273238.333333,120,20154.9092609378,2024-06-28 15:30:00+00:00,2024-06-28 17:59:00+00:00,20101.0,20130.5,19985.25,20041.0,157936,3167563354.6666665,150,20055.993279978386,primary_2023_2025,234.0,128.0,1.828125,exhaustion,1_5_to_2_0,145.25,0.6207264957264957,False,0.41308089500860584,-0.41308089500860584,1,-1,True,True,0.3838209982788296,False,False,2024,2024-06,2024-W26
NQ,2024-07-01,2024-07-01 13:30:00+00:00,2024-07-01 15:29:00+00:00,19971.75,19985.75,19811.75,19950.75,259124,5158231712.166667,120,19906.422068842203,2024-07-01 15:30:00+00:00,2024-07-01 17:59:00+00:00,19951.0,20026.5,19922.25,19999.25,121811,2434939733.3333335,150,19989.489728623306,primary_2023_2025,174.0,128.0,1.359375,standard,1_3_to_1_5,104.25,0.5991379310344828,False,0.4628297362110312,0.4628297362110312,-1,1,True,True,0.7386091127098321,False,False,2024,2024-07,2024-W27
NQ,2024-07-02,2024-07-02 13:30:00+00:00,2024-07-02 15:29:00+00:00,19982.25,20131.0,19976.75,20126.0,242117,4858359623.75,120,20066.164803586697,2024-07-02 15:30:00+00:00,2024-07-02 17:59:00+00:00,20126.5,20216.0,20065.25,20209.0,139146,2802284161.0,150,20139.16433817717,primary_2023_2025,154.25,128.0,1.205078125,standard,1_0_to_1_3,150.75,0.9773095623987034,False,0.5472636815920398,0.5472636815920398,1,1,False,True,0.9535655058043118,True,True,2024,2024-07,2024-W27
NQ,2024-07-03,2024-07-03 13:30:00+00:00,2024-07-03 15:29:00+00:00,20216.25,20356.25,20216.0,20346.0,192068,3895341128.0833335,120,20281.052169457347,2024-07-03 15:30:00+00:00,2024-07-03 17:14:00+00:00,20346.5,20435.25,20327.25,20419.5,113478,2313629872.3333335,105,20388.356089579775,primary_2023_2025,140.25,133.625,1.0495790458372312,standard,1_0_to_1_3,108.0,0.7700534759358288,False,0.6759259259259259,0.6759259259259259,1,1,False,True,0.8541666666666666,False,False,2024,2024-07,2024-W27
