monitor_id,scope,scope_value,root,timeframe,variant,filter,slippage_ticks_per_side,slippage_cost_dollars_per_trade,trades,days,weeks,net_dollars,profit_factor,max_drawdown_dollars,win_rate,largest_winner,largest_winner_share,net_without_largest,status,status_reasons
local_raw_60m_ema_pullback,month,2026-06,MNQ,60,ema_pullback_trend,No context filter.,2.0,2.0,11,5,1,253.50285714285485,1.1348444044572228,921.8485714285798,36.36363636363637,901.1171428571448,3.5546626693416083,-647.61428571429,fail,"sample_size,calendar_coverage,largest_winner_dependency,largest_winner_share"
databento_style_15m_ema_month_or_week_down,full,all,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,0.0,0.0,22,5,3,-1287.1728571428553,0.4364388519132186,1404.0342857142828,18.181818181818183,409.6171428571449,,-1696.7900000000002,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,week,2026-03-30/2026-04-05,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,0.0,0.0,10,3,1,-182.57857142857245,0.6013804546829722,299.44000000000005,20.0,139.0457142857174,,-321.62428571428984,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,week,2026-05-18/2026-05-24,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,0.0,0.0,11,1,1,-901.9971428571378,0.44436895989130437,719.8999999999928,18.181818181818183,409.6171428571449,,-1311.6142857142827,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,week,2026-06-01/2026-06-07,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,0.0,0.0,1,1,1,-202.5971428571449,0.0,0.0,0.0,-202.5971428571449,,0.0,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,month,2026-04,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,0.0,0.0,10,3,1,-182.57857142857245,0.6013804546829722,299.44000000000005,20.0,139.0457142857174,,-321.62428571428984,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,month,2026-05,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,0.0,0.0,11,1,1,-901.9971428571378,0.44436895989130437,719.8999999999928,18.181818181818183,409.6171428571449,,-1311.6142857142827,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,month,2026-06,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,0.0,0.0,1,1,1,-202.5971428571449,0.0,0.0,0.0,-202.5971428571449,,0.0,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,full,all,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,1.0,1.0,22,5,3,-1309.1728571428553,0.43128858836328055,1422.0342857142828,18.181818181818183,408.6171428571449,,-1717.7900000000002,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,week,2026-03-30/2026-04-05,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,1.0,1.0,10,3,1,-192.57857142857245,0.5867653324913628,305.44000000000005,20.0,138.0457142857174,,-330.62428571428984,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
