trading_day,open_time,complete,prior_rth_close,rth_open,gap_points,gap_pct,or5_range,or15_range,or30_range,or5_return,or15_return,or30_return,or5_volume,or15_volume,or30_volume,or5_bars,or15_bars,or30_bars,or30_range_z,or30_volume_z,gap_label,bias_label,range_label,volume_label,regime_label
2025-03-14,2025-03-14T13:30:00Z,true,19232.500000,19470.750000,238.250000,1.238789,93.750000,150.500000,170.750000,60.000000,103.000000,85.750000,39386,126380,214076,5,15,30,-1.147578,-7.428648,gap_up,open_drive_up,narrow_opening_range,low_opening_volume,vvg_trend_up
2025-03-17,2025-03-17T13:30:00Z,true,19731.500000,19693.250000,-38.250000,-0.193852,75.250000,164.000000,164.000000,60.250000,130.000000,93.500000,19607,57214,115135,5,15,30,-1.007319,-5.807190,flat_gap,open_drive_up,narrow_opening_range,low_opening_volume,drift_up
2025-03-18,2025-03-18T13:30:00Z,true,19841.500000,19895.250000,53.750000,0.270897,49.000000,146.250000,244.250000,-20.750000,-118.250000,-215.000000,28292,99028,194439,5,15,30,1.806395,-0.609135,flat_gap,open_drive_down,wide_opening_range,normal_opening_volume,vvg_trend_down
2025-03-19,2025-03-19T13:30:00Z,true,19706.000000,19785.000000,79.000000,0.400893,36.250000,105.000000,138.500000,15.750000,-70.250000,42.250000,26044,90085,178949,5,15,30,-1.843091,-0.613730,gap_up,open_drive_up,narrow_opening_range,normal_opening_volume,vvg_trend_up
2025-03-20,2025-03-20T13:30:00Z,true,19936.750000,19789.000000,-147.750000,-0.741094,116.250000,150.500000,176.250000,75.500000,98.500000,128.250000,35718,101909,177909,5,15,30,-0.351914,-0.345434,gap_down,open_drive_up,normal_opening_range,normal_opening_volume,drift_up
2025-03-21,2025-03-21T13:30:00Z,true,19886.750000,19652.250000,-234.500000,-1.179177,89.750000,104.750000,145.500000,15.500000,43.500000,82.750000,46236,115257,215984,5,15,30,-0.944379,1.201777,gap_down,open_drive_up,narrow_opening_range,high_opening_volume,vvg_trend_up
2025-03-24,2025-03-24T13:30:00Z,true,19953.750000,20262.250000,308.500000,1.546075,39.250000,64.250000,109.750000,-7.000000,2.250000,61.000000,38853,109199,186400,5,15,30,-1.695604,0.294891,gap_up,open_drive_up,narrow_opening_range,normal_opening_volume,vvg_trend_up
2025-03-25,2025-03-25T13:30:00Z,true,20386.750000,20400.750000,14.000000,0.068672,35.000000,60.500000,66.500000,4.500000,-25.500000,15.500000,29774,95330,168956,5,15,30,-2.100622,-1.560962,flat_gap,open_drive_up,narrow_opening_range,low_opening_volume,drift_up
2025-03-26,2025-03-26T13:30:00Z,true,20483.000000,20440.750000,-42.250000,-0.206269,45.750000,62.250000,169.250000,-20.500000,-1.250000,-111.500000,30570,94208,203561,5,15,30,1.132756,1.109634,flat_gap,open_drive_down,wide_opening_range,high_opening_volume,vvg_trend_down
2025-03-27,2025-03-27T13:30:00Z,true,20127.000000,20023.500000,-103.500000,-0.514235,92.000000,132.000000,153.250000,-44.000000,-54.250000,51.250000,43959,130496,255284,5,15,30,0.485894,3.788228,gap_down,open_drive_up,normal_opening_range,high_opening_volume,vvg_trend_up
2025-03-28,2025-03-28T13:30:00Z,true,20005.750000,19903.000000,-102.750000,-0.513602,76.500000,101.750000,101.750000,-55.000000,-5.500000,-41.750000,34383,113793,193785,5,15,30,-0.737182,-0.418230,gap_down,open_drive_down,normal_opening_range,normal_opening_volume,vvg_trend_down
2025-03-31,2025-03-31T13:30:00Z,true,19471.000000,19167.500000,-303.500000,-1.558728,148.250000,178.500000,215.500000,-119.750000,-124.250000,-75.750000,48255,126174,240513,5,15,30,2.580934,1.335813,gap_down,open_drive_down,wide_opening_range,high_opening_volume,vvg_trend_down
