trading_day,regime,mode,source,timeframe,variant,prior_trades,prior_total_r,prior_avg_r,day_trades,day_win_rate,day_avg_r,day_total_r,day_profit_factor,day_max_drawdown_r,day_pnl_usd,day_max_drawdown_usd
2025-03-14,vvg_trend_up,same_regime_only,same_regime_prior,1,vwap_delta_rejection,7,10.319093,1.474156,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-03-14,vvg_trend_up,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,7,10.319093,1.474156,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-03-17,drift_up,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,47,13.894597,0.295630,6,50.000000,0.417712,2.506271,1.791,2.120534,20.060000,78.980000
2025-03-18,vvg_trend_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,53,16.400867,0.309450,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-03-19,vvg_trend_up,same_regime_only,same_regime_prior,1,vwap_delta_rejection,7,10.319093,1.474156,1,100.000000,1.970133,1.970133,Inf,0.000000,147.760000,0.000000
2025-03-19,vvg_trend_up,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,7,10.319093,1.474156,1,100.000000,1.970133,1.970133,Inf,0.000000,147.760000,0.000000
2025-03-20,drift_up,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,54,18.371001,0.340204,1,100.000000,1.962034,1.962034,Inf,0.000000,115.760000,0.000000
2025-03-21,vvg_trend_up,same_regime_only,same_regime_prior,1,vwap_delta_rejection,8,12.289226,1.536153,2,50.000000,-0.353730,-0.707459,0.317,1.035276,-51.480000,65.740000
2025-03-21,vvg_trend_up,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,8,12.289226,1.536153,2,50.000000,-0.353730,-0.707459,0.317,1.035276,-51.480000,65.740000
2025-03-24,vvg_trend_up,same_regime_only,same_regime_prior,1,vwap_delta_rejection,10,11.581766,1.158177,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-03-24,vvg_trend_up,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,10,11.581766,1.158177,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-03-25,drift_up,same_regime_only,same_regime_prior,1,vwap_delta_rejection,10,1.240915,0.124092,1,0.000000,-1.124444,-1.124444,0.000,1.124444,-20.240000,20.240000
2025-03-25,drift_up,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,10,1.240915,0.124092,1,0.000000,-1.124444,-1.124444,0.000,1.124444,-20.240000,20.240000
2025-03-26,vvg_trend_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,58,18.501131,0.318985,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-03-27,vvg_trend_up,same_regime_only,same_regime_prior,1,vwap_delta_rejection,10,11.581766,1.158177,3,33.333333,-0.091982,-0.275946,0.873,2.174128,-14.220000,55.980000
2025-03-27,vvg_trend_up,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,10,11.581766,1.158177,3,33.333333,-0.091982,-0.275946,0.873,2.174128,-14.220000,55.980000
2025-03-28,vvg_trend_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,61,18.225184,0.298774,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-03-31,vvg_trend_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,61,18.225184,0.298774,1,0.000000,-1.057436,-1.057436,0.000,1.057436,-41.240000,41.240000
