root,session_date,globex_first_timestamp,globex_last_timestamp,globex_open,globex_high,globex_low,globex_close,globex_volume,globex_bar_count,rth_morning_first_timestamp,rth_morning_last_timestamp,rth_morning_open,rth_morning_high,rth_morning_low,rth_morning_close,rth_morning_volume,rth_morning_bar_count,rth_morning_atr20,cohort,globex_range,globex_reference_median_20,globex_range_ratio,globex_state,globex_range_ratio_bin,rth_morning_range,rth_morning_range_div_atr20,rth_morning_trendiness,rth_morning_signed_trendiness,breached_globex_high,breached_globex_low,closed_outside_globex_range,max_extension_beyond_globex_range,failed_breakout_reentry,year,month,week
MNQ,2023-02-07,2023-02-06 23:00:00+00:00,2023-02-07 14:29:00+00:00,12517.0,12573.75,12475.75,12503.25,228497,930,2023-02-07 14:30:00+00:00,2023-02-07 16:29:00+00:00,12504.0,12568.25,12477.0,12558.0,327537,120,232.2625,primary_2023_2025,98.0,140.875,0.6956521739130435,compression,0_5_to_0_7,91.25,0.39287444163392715,0.5917808219178082,0.5917808219178082,False,False,False,0.0,False,2023,2023-02,2023-W06
MNQ,2023-02-08,2023-02-07 23:00:00+00:00,2023-02-08 14:29:00+00:00,12746.0,12809.0,12699.0,12714.25,240074,930,2023-02-08 14:30:00+00:00,2023-02-08 16:29:00+00:00,12713.75,12752.25,12519.25,12535.25,411226,120,247.4625,primary_2023_2025,110.0,140.875,0.7808340727595386,neutral,0_7_to_0_9,233.0,0.9415568015355862,0.7660944206008584,-0.7660944206008584,False,True,True,179.75,False,2023,2023-02,2023-W06
MNQ,2023-02-09,2023-02-08 23:00:00+00:00,2023-02-09 14:29:00+00:00,12557.25,12727.25,12541.5,12722.0,238767,930,2023-02-09 14:30:00+00:00,2023-02-09 16:29:00+00:00,12722.75,12729.5,12565.5,12580.0,420809,120,256.8125,primary_2023_2025,185.75,140.875,1.318544809228039,expansion,gt_1_3,164.0,0.6385981990752008,0.8704268292682927,-0.8704268292682927,True,False,False,2.25,True,2023,2023-02,2023-W06
MNQ,2023-02-10,2023-02-09 23:00:00+00:00,2023-02-10 14:29:00+00:00,12445.75,12451.5,12270.5,12334.75,295455,930,2023-02-10 14:30:00+00:00,2023-02-10 16:29:00+00:00,12335.0,12421.75,12284.5,12329.0,447309,120,266.825,primary_2023_2025,181.0,140.875,1.284826974267968,neutral,1_1_to_1_3,137.25,0.5143820856366532,0.04371584699453552,-0.04371584699453552,False,False,False,0.0,False,2023,2023-02,2023-W06
MNQ,2023-02-13,2023-02-12 23:00:00+00:00,2023-02-13 14:29:00+00:00,12353.25,12433.75,12265.0,12402.0,223873,930,2023-02-13 14:30:00+00:00,2023-02-13 16:29:00+00:00,12402.0,12535.75,12352.0,12523.25,352180,120,257.5,primary_2023_2025,168.75,140.875,1.1978704525288377,neutral,1_1_to_1_3,183.75,0.7135922330097088,0.6598639455782312,0.6598639455782312,True,False,True,102.0,False,2023,2023-02,2023-W07
MNQ,2023-02-14,2023-02-13 23:00:00+00:00,2023-02-14 14:29:00+00:00,12547.75,12685.75,12460.0,12473.5,431326,930,2023-02-14 14:30:00+00:00,2023-02-14 16:29:00+00:00,12473.5,12673.25,12390.5,12469.25,572029,120,255.6875,primary_2023_2025,225.75,143.75,1.5704347826086957,expansion,gt_1_3,282.75,1.1058420923979466,0.015030946065428824,-0.015030946065428824,False,True,False,69.5,True,2023,2023-02,2023-W07
MNQ,2023-02-15,2023-02-14 23:00:00+00:00,2023-02-15 14:29:00+00:00,12618.75,12624.5,12531.0,12553.5,292309,930,2023-02-15 14:30:00+00:00,2023-02-15 16:29:00+00:00,12553.25,12635.0,12524.25,12632.25,400248,120,268.6125,primary_2023_2025,93.5,146.875,0.6365957446808511,compression,0_5_to_0_7,110.75,0.4123039694727535,0.7133182844243793,0.7133182844243793,True,True,True,10.5,False,2023,2023-02,2023-W07
MNQ,2023-02-16,2023-02-15 23:00:00+00:00,2023-02-16 14:29:00+00:00,12743.75,12792.5,12512.75,12523.75,293849,930,2023-02-16 14:30:00+00:00,2023-02-16 16:29:00+00:00,12524.0,12674.0,12496.5,12643.0,421372,120,265.475,primary_2023_2025,279.75,146.875,1.9046808510638298,expansion,gt_1_3,177.5,0.6686128637348149,0.6704225352112676,0.6704225352112676,False,True,False,16.25,True,2023,2023-02,2023-W07
MNQ,2023-02-17,2023-02-16 23:00:00+00:00,2023-02-17 14:29:00+00:00,12461.0,12464.0,12337.75,12390.0,274276,930,2023-02-17 14:30:00+00:00,2023-02-17 16:29:00+00:00,12389.75,12423.5,12287.75,12294.0,405603,120,274.0,primary_2023_2025,126.25,153.5,0.8224755700325733,neutral,0_7_to_0_9,135.75,0.4954379562043796,0.7053406998158379,-0.7053406998158379,False,True,True,50.0,False,2023,2023-02,2023-W07
MNQ,2023-02-20,2023-02-19 23:00:00+00:00,2023-02-20 14:29:00+00:00,12383.0,12418.0,12346.25,12393.5,133147,930,2023-02-20 14:30:00+00:00,2023-02-20 16:29:00+00:00,12394.0,12396.5,12371.0,12381.0,25395,120,258.55,primary_2023_2025,71.75,153.5,0.46742671009771986,compression,lt_0_5,25.5,0.09862695803519628,0.5098039215686274,-0.5098039215686274,False,False,False,0.0,False,2023,2023-02,2023-W08
MNQ,2023-02-21,2023-02-20 23:00:00+00:00,2023-02-21 14:29:00+00:00,12370.0,12379.5,12223.25,12229.0,255452,930,2023-02-21 14:30:00+00:00,2023-02-21 16:29:00+00:00,12228.75,12291.25,12155.25,12161.0,315238,120,248.1375,primary_2023_2025,156.25,153.5,1.017915309446254,neutral,0_9_to_1_1,136.0,0.5480832199889175,0.49816176470588236,-0.49816176470588236,False,True,True,68.0,False,2023,2023-02,2023-W08
MNQ,2023-02-22,2023-02-21 23:00:00+00:00,2023-02-22 14:29:00+00:00,12111.25,12163.0,12062.5,12120.25,236308,930,2023-02-22 14:30:00+00:00,2023-02-22 16:29:00+00:00,12120.0,12174.5,12034.25,12089.75,353215,120,257.4625,primary_2023_2025,100.5,157.5,0.638095238095238,compression,0_5_to_0_7,140.25,0.544739525173569,0.21568627450980393,-0.21568627450980393,True,True,False,28.25,True,2023,2023-02,2023-W08
MNQ,2023-02-23,2023-02-22 23:00:00+00:00,2023-02-23 14:29:00+00:00,12175.5,12261.0,12150.5,12251.75,236531,930,2023-02-23 14:30:00+00:00,2023-02-23 16:29:00+00:00,12252.25,12260.25,12072.0,12081.25,370581,120,253.4625,primary_2023_2025,110.5,152.25,0.7257799671592775,neutral,0_7_to_0_9,188.25,0.7427134191448439,0.9083665338645418,-0.9083665338645418,False,True,True,78.5,False,2023,2023-02,2023-W08
MNQ,2023-02-24,2023-02-23 23:00:00+00:00,2023-02-24 14:29:00+00:00,12191.25,12214.25,11973.25,11993.75,283415,930,2023-02-24 14:30:00+00:00,2023-02-24 16:29:00+00:00,11994.0,12043.0,11922.75,11973.5,342491,120,250.875,primary_2023_2025,241.0,146.875,1.6408510638297873,expansion,gt_1_3,120.25,0.47932237169905334,0.1704781704781705,-0.1704781704781705,False,True,False,50.5,True,2023,2023-02,2023-W08
MNQ,2023-02-27,2023-02-26 23:00:00+00:00,2023-02-27 14:29:00+00:00,12002.25,12153.25,11987.75,12131.25,210845,930,2023-02-27 14:30:00+00:00,2023-02-27 16:29:00+00:00,12131.25,12189.5,12076.5,12094.25,315511,120,219.75,primary_2023_2025,165.5,152.25,1.0870279146141215,neutral,0_9_to_1_1,113.0,0.5142207053469852,0.3274336283185841,-0.3274336283185841,True,False,False,36.25,True,2023,2023-02,2023-W09
MNQ,2023-02-28,2023-02-27 23:00:00+00:00,2023-02-28 14:29:00+00:00,12092.0,12149.25,12026.75,12056.25,217948,930,2023-02-28 14:30:00+00:00,2023-02-28 16:29:00+00:00,12056.0,12124.25,12041.25,12097.5,319760,120,212.5625,primary_2023_2025,122.5,152.25,0.8045977011494253,neutral,0_7_to_0_9,83.0,0.390473390179359,0.5,0.5,False,False,False,0.0,False,2023,2023-02,2023-W09
MNQ,2023-03-01,2023-02-28 23:00:00+00:00,2023-03-01 14:29:00+00:00,12042.75,12142.0,11989.25,12051.75,262681,930,2023-03-01 14:30:00+00:00,2023-03-01 16:29:00+00:00,12052.25,12080.0,11925.0,11953.75,377308,120,219.075,primary_2023_2025,152.75,152.25,1.0032840722495895,neutral,0_9_to_1_1,155.0,0.7075202556202215,0.635483870967742,-0.635483870967742,False,True,True,64.25,False,2023,2023-03,2023-W09
MNQ,2023-03-02,2023-03-01 23:00:00+00:00,2023-03-02 14:29:00+00:00,11968.5,11991.75,11831.5,11857.25,316085,930,2023-03-02 14:30:00+00:00,2023-03-02 16:29:00+00:00,11857.0,11938.75,11846.25,11892.75,298276,120,225.8125,primary_2023_2025,160.25,154.5,1.0372168284789645,neutral,0_9_to_1_1,92.5,0.40963188486022695,0.3864864864864865,0.3864864864864865,False,False,False,0.0,False,2023,2023-03,2023-W09
MNQ,2023-03-03,2023-03-02 23:00:00+00:00,2023-03-03 14:29:00+00:00,12050.75,12155.0,12012.25,12134.5,229582,930,2023-03-03 14:30:00+00:00,2023-03-03 16:29:00+00:00,12134.5,12233.25,12111.0,12198.25,322762,120,221.075,primary_2023_2025,142.75,154.5,0.9239482200647249,neutral,0_9_to_1_1,122.25,0.5529797580006786,0.5214723926380368,0.5214723926380368,True,False,True,78.25,False,2023,2023-03,2023-W09
