source_file,source_row,family,variant,candidate_id,status_raw,net_dollars,profit_factor,max_drawdown_dollars,trades,largest_winner_share,net_without_largest,triage_score,suggested_status,score_reasons,missing_required_metrics,status_cap_reasons,suggested_status_rank
reports/pattern_ml_20260612/regime_shift/predefined_rule_audit.csv,15,multi_timeframe_regime_selector,predefined_rule_audit,multi_timeframe_regime_selector:predefined_rule_audit:reports/pattern_ml_20260612/regime_shift/predefined_rule_audit.csv:15,,492.300065,,202.7999815,65.0,,,55.0,diagnostic_only,"positive_net,sample_primary_level,preferred_drawdown,capped_from_research_monitor_missing_required","profit_factor,largest_winner_share,net_without_largest","missing_required_for_promotion:profit_factor,largest_winner_share,net_without_largest",1
reports/pattern_ml_20260612/performance_breakdowns.csv,0,unknown_other,performance_breakdowns,unknown_other:performance_breakdowns:reports/pattern_ml_20260612/performance_breakdowns.csv:0,,151.1600655,,462.7600095,83.0,,,55.0,diagnostic_only,"positive_net,sample_primary_level,preferred_drawdown,capped_from_research_monitor_missing_required","profit_factor,largest_winner_share,net_without_largest","missing_required_for_promotion:profit_factor,largest_winner_share,net_without_largest",1
reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv,5,ema_pullback,ema_pullback_trend,ema_pullback:ema_pullback_trend:reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv:5,fail,987.2899999999928,7.911513805966264,0.0,4.0,0.4410804178248395,551.8157142857101,45.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,positive_ex_largest,largest_share_high,source_status_negative,capped_from_research_monitor_family_cap",,family_status_cap:ema_pullback<=diagnostic_only,1
reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv,18,ema_pullback,ema_pullback_trend,ema_pullback:ema_pullback_trend:reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv:18,fail,983.2899999999928,7.835658883934183,0.0,4.0,0.4418577283550995,548.8157142857101,45.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,positive_ex_largest,largest_share_high,source_status_negative,capped_from_research_monitor_family_cap",,family_status_cap:ema_pullback<=diagnostic_only,1
reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv,31,ema_pullback,ema_pullback_trend,ema_pullback:ema_pullback_trend:reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv:31,fail,979.2899999999928,7.760851340822195,0.0,4.0,0.4426413888779481,545.8157142857101,45.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,positive_ex_largest,largest_share_high,source_status_negative,capped_from_research_monitor_family_cap",,family_status_cap:ema_pullback<=diagnostic_only,1
reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv,3,ema_pullback,ema_pullback_trend,ema_pullback:ema_pullback_trend:reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv:3,fail,972.3557142857172,3.104477335056546,155.74,7.0,0.4372033162467006,547.2385714285724,45.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,positive_ex_largest,largest_share_high,source_status_negative,capped_from_research_monitor_family_cap",,family_status_cap:ema_pullback<=diagnostic_only,1
reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv,16,ema_pullback,ema_pullback_trend,ema_pullback:ema_pullback_trend:reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv:16,fail,965.3557142857172,3.075848849104085,156.74,7.0,0.4393376830746335,541.2385714285724,45.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,positive_ex_largest,largest_share_high,source_status_negative,capped_from_research_monitor_family_cap",,family_status_cap:ema_pullback<=diagnostic_only,1
reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv,29,ema_pullback,ema_pullback_trend,ema_pullback:ema_pullback_trend:reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv:29,fail,958.3557142857172,3.0475873625350736,157.74,7.0,0.4415032294897965,535.2385714285724,45.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,positive_ex_largest,largest_share_high,source_status_negative,capped_from_research_monitor_family_cap",,family_status_cap:ema_pullback<=diagnostic_only,1
reports/pattern_ml_20260612/regime_shift/cohort_stability.csv,37,multi_timeframe_regime_selector,cohort_stability,multi_timeframe_regime_selector:cohort_stability:reports/pattern_ml_20260612/regime_shift/cohort_stability.csv:37,,912.4000695,,133.419963,45.0,,,45.0,diagnostic_only,"positive_net,sample_monitor_level,preferred_drawdown,capped_from_research_monitor_missing_required","profit_factor,largest_winner_share,net_without_largest","missing_required_for_promotion:profit_factor,largest_winner_share,net_without_largest",1
reports/pattern_ml_20260612/performance_breakdowns.csv,30,unknown_other,performance_breakdowns,unknown_other:performance_breakdowns:reports/pattern_ml_20260612/performance_breakdowns.csv:30,,910.279979,,135.419982,39.0,,,45.0,diagnostic_only,"positive_net,sample_monitor_level,preferred_drawdown,capped_from_research_monitor_missing_required","profit_factor,largest_winner_share,net_without_largest","missing_required_for_promotion:profit_factor,largest_winner_share,net_without_largest",1
