root,session_date,timestamp_first,timestamp_last,open,high,low,close,volume,source_label,source_path,tr,close_to_close_return_points,trendiness,signed_trendiness,prior_day_tr,atr20,range_ratio,state,state_next,range_ratio_bin
NQ,2023-04-03,2023-04-03 04:00:00+00:00,2023-04-04 03:59:00+00:00,13216.0,13278.75,13154.0,13244.5,516305,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,124.75,28.5,0.22845691382765532,0.22845691382765532,75.5,254.65,0.29648537207932457,compression,compression,lt_0_7
NQ,2023-04-04,2023-04-04 04:00:00+00:00,2023-04-05 03:59:00+00:00,13244.5,13348.75,13168.25,13226.0,571122,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,180.5,-18.5,0.10249307479224377,-0.10249307479224377,124.75,245.1875,0.5087942900841192,compression,compression,lt_0_7
NQ,2023-04-05,2023-04-05 04:00:00+00:00,2023-04-06 03:59:00+00:00,13226.0,13236.0,13006.0,13026.0,590404,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,230.0,-200.0,0.8695652173913043,-0.8695652173913043,180.5,236.7375,0.7624478589154654,compression,neutral,0_7_to_0_9
NQ,2023-04-06,2023-04-06 04:00:00+00:00,2023-04-07 03:59:00+00:00,13025.75,13191.0,12953.25,13160.0,580504,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,237.75,134.0,0.5646687697160884,0.5646687697160884,230.0,227.4125,1.0113780025284451,neutral,neutral,0_9_to_1_1
NQ,2023-04-07,2023-04-07 04:00:00+00:00,2023-04-07 13:14:00+00:00,13159.75,13192.25,13122.0,13184.25,31699,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,70.25,24.25,0.3487544483985765,0.3487544483985765,237.75,222.2,1.06998199819982,neutral,compression,0_9_to_1_1
NQ,2023-04-09,2023-04-09 22:00:00+00:00,2023-04-10 03:59:00+00:00,13179.75,13203.25,13131.0,13141.0,22905,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,72.25,-43.25,0.5363321799307958,-0.5363321799307958,70.25,207.425,0.3386766301072677,compression,compression,lt_0_7
NQ,2023-04-10,2023-04-10 04:00:00+00:00,2023-04-11 03:59:00+00:00,13140.75,13186.5,12967.5,13151.75,548767,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,219.0,10.75,0.0502283105022831,0.0502283105022831,72.25,189.95,0.38036325348775996,compression,neutral,lt_0_7
NQ,2023-04-11,2023-04-11 04:00:00+00:00,2023-04-12 03:59:00+00:00,13151.75,13208.75,13053.5,13073.0,535846,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,155.25,-78.75,0.5072463768115942,-0.5072463768115942,219.0,188.8125,1.159880834160874,neutral,neutral,1_1_to_1_3
NQ,2023-04-12,2023-04-12 04:00:00+00:00,2023-04-13 03:59:00+00:00,13073.0,13241.75,12925.5,12973.0,684514,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,316.25,-100.0,0.31620553359683795,-0.31620553359683795,155.25,191.875,0.8091205211726384,neutral,expansion,0_7_to_0_9
NQ,2023-04-13,2023-04-13 04:00:00+00:00,2023-04-14 03:59:00+00:00,12973.0,13228.0,12957.25,13198.25,544926,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,270.75,225.25,0.8319482917820868,0.8319482917820868,316.25,197.0625,1.6048208055819855,expansion,expansion,gt_1_3
