root,session_date,coiled_cohort,globex_state,globex_range_ratio,rth_morning_range_div_atr20,closed_outside_globex_range,failed_breakout_reentry,lunch_cohort,morning_state,morning_range_ratio,lunch_range_div_morning_range,lunch_range_contraction,trend_continuation_failure,vwap_cross,inside_state,inside_sub_state,rest_rth_range_div_first_hour_range,new_rth_high_or_low_after_10_30,new_session_high_or_low_after_10_30,chop_index,first_hour_vwap_cross_count,year,month,week,eligible_primary_states
MNQ,2023-03-09,primary_2023_2025,neutral,0.9509306260575296,0.5931440235336495,True,False,primary_2023_2025,standard,0.9039341262580056,1.7165991902834008,False,True,True,broken,broken_up,2.9979757085020244,True,True,0.5276073619631901,20,2023,2023-03,2023-W10,True
MNQ,2023-03-10,primary_2023_2025,expansion,1.3451015004413065,0.8657706406004538,False,True,primary_2023_2025,standard,1.3689052437902485,1.521505376344086,False,True,True,broken,broken_down,1.749613601236476,True,True,0.544891640866873,32,2023,2023-03,2023-W10,True
MNQ,2023-03-13,primary_2023_2025,expansion,2.944395410414828,1.6812044449755048,False,False,primary_2023_2025,exhaustion,2.5887764489420424,0.4207533759772566,True,True,False,trapped,trapped,1.0264227642276422,True,False,0.5351681957186545,0,2023,2023-03,2023-W11,True
MNQ,2023-03-14,primary_2023_2025,expansion,1.3592233009708738,0.6661415550804546,True,False,primary_2023_2025,standard,1.0892364305427782,0.8716216216216216,False,True,True,broken,broken_up,1.7465116279069768,True,True,0.4720496894409938,45,2023,2023-03,2023-W11,True
MNQ,2023-03-15,primary_2023_2025,expansion,1.9858781994704324,0.5198372867029426,False,False,primary_2023_2025,standard,0.90524379024839,1.056910569105691,False,False,True,trapped,trapped,2.7621621621621624,True,True,0.4953560371517028,38,2023,2023-03,2023-W11,True
MNQ,2023-03-16,primary_2023_2025,neutral,0.8967851099830795,1.131248755228042,True,False,primary_2023_2025,exhaustion,2.0901563937442504,0.363556338028169,True,False,False,broken,broken_down,2.8385093167701863,True,True,0.5235109717868338,0,2023,2023-03,2023-W11,True
MNQ,2023-03-17,primary_2023_2025,neutral,0.7608120035304501,0.8835186080231996,True,False,primary_2023_2025,exhaustion,1.6816927322907085,0.5470459518599562,False,True,True,broken,broken_up,0.9658886894075404,True,True,0.4767801857585139,0,2023,2023-03,2023-W11,True
MNQ,2023-03-20,primary_2023_2025,expansion,1.585172109443954,0.6495609086003042,False,False,primary_2023_2025,standard,1.2058287795992717,0.7990936555891238,False,True,True,trapped,trapped,1.3734939759036144,True,False,0.5263157894736842,3,2023,2023-03,2023-W12,True
MNQ,2023-03-21,primary_2023_2025,neutral,0.7851099830795262,0.4917951514550592,False,True,primary_2023_2025,standard,0.8896860986547085,0.8729838709677419,False,True,True,broken,broken_up,1.7946859903381642,True,True,0.4829721362229102,11,2023,2023-03,2023-W12,True
MNQ,2023-03-22,primary_2023_2025,compression,0.5542806707855251,0.334889092046384,True,False,primary_2023_2025,standard,0.6242152466367713,0.8477011494252874,False,False,True,broken,broken_up,4.433908045977011,True,True,0.4654088050314465,37,2023,2023-03,2023-W12,True
